None,indicator_id,region_id,date,value
126,SSSM,845167,2013-02-28,83917.0
127,SSSM,845167,2013-01-31,90917.0
128,SSSM,845167,2012-12-31,92167.0
129,SSSM,845167,2012-11-30,101900.0
130,SSSM,845167,2012-10-31,94900.0
131,SSSM,845167,2012-09-30,95400.0
132,SSSM,845167,2012-08-31,92192.0
133,SSSM,845167,2012-07-31,95858.0
134,SSSM,845167,2012-06-30,98358.0
135,SSSM,845167,2012-05-31,92000.0
136,SSSM,845167,2012-04-30,86333.0
137,SSSM,845167,2012-03-31,83000.0
138,SSSM,845167,2012-02-29,80333.0
139,SSSM,845167,2012-01-31,77766.0
140,SSSM,845167,2011-12-31,75416.0
141,SSSM,845167,2011-11-30,75916.0
142,SSSM,845167,2011-10-31,80567.0
143,SSSM,845167,2011-09-30,81583.0
144,SSSM,845167,2011-08-31,86667.0
145,SSSM,845167,2011-07-31,87233.0
146,SSSM,845167,2011-06-30,86900.0
147,SSSM,845167,2011-05-31,80983.0
148,SSSM,845167,2011-04-30,78333.0
149,SSSM,845167,2011-03-31,78000.0
150,SSSM,845167,2011-02-28,83833.0
151,SSSM,845167,2011-01-31,86333.0
152,SSSM,845167,2010-12-31,88083.0
153,SSSM,845167,2010-11-30,87917.0
154,SSSM,845167,2010-10-31,88250.0
155,SSSM,845167,2010-09-30,92667.0
156,SSSM,845167,2010-08-31,93333.0
157,SSSM,845167,2010-07-31,96367.0
158,SSSM,845167,2010-06-30,94867.0
159,SSSM,845167,2010-05-31,100367.0
160,SSSM,845167,2010-04-30,98067.0
161,SSSM,845167,2010-03-31,103650.0
162,SSSM,845167,2010-02-28,96650.0
163,SSSM,845167,2010-01-31,98917.0
164,SSSM,845167,2009-12-31,94000.0
165,SSSM,845167,2009-11-30,93733.0
166,SSSM,845167,2009-10-31,89567.0
167,SSSM,845167,2009-09-30,87067.0
168,SSSM,845167,2009-08-31,87483.0
169,SSSM,845167,2009-07-31,89650.0
170,SSSM,845167,2009-06-30,92817.0
171,SSSM,845167,2009-05-31,91167.0
172,SSSM,845167,2009-04-30,85333.0
173,SSSM,845167,2009-03-31,82000.0
174,SSSM,845167,2009-02-28,90333.0
175,SSSM,845167,2009-01-31,96667.0
176,SSSM,845167,2008-12-31,96000.0
177,SSSM,845167,2008-11-30,88500.0
178,SSSM,845167,2008-10-31,90750.0
179,SSSM,845167,2008-09-30,97417.0
180,SSSM,845167,2008-08-31,103750.0
181,SSSM,845167,2008-07-31,102417.0
182,SSSM,845167,2008-06-30,104083.0
183,SSSM,845167,2008-05-31,103167.0
184,SSSM,845167,2008-04-30,101917.0
185,SSSM,845164,2023-08-31,381333.0
186,SSSM,845164,2023-07-31,378333.0
187,SSSM,845164,2023-06-30,348667.0
188,SSSM,845164,2023-05-31,333667.0
189,SSSM,845164,2023-04-30,312333.0
190,SSSM,845164,2023-03-31,330667.0
191,SSSM,845164,2023-02-28,314933.0
192,SSSM,845164,2023-01-31,319267.0
193,SSSM,845164,2022-12-31,302433.0
194,SSSM,845164,2022-11-30,318167.0
195,SSSM,845164,2022-10-31,323167.0
196,SSSM,845164,2022-09-30,335667.0
197,SSSM,845164,2022-08-31,338333.0
198,SSSM,845164,2022-07-31,341667.0
199,SSSM,845164,2022-06-30,334333.0
200,SSSM,845164,2022-05-31,310333.0
201,SSSM,845164,2022-04-30,291978.0
202,SSSM,845164,2022-03-31,285300.0
203,SSSM,845164,2022-02-28,295467.0
204,SSSM,845164,2022-01-31,291000.0
205,SSSM,845164,2021-12-31,283011.0
206,SSSM,845164,2021-11-30,284178.0
207,SSSM,845164,2021-10-31,297167.0
208,SSSM,845164,2021-09-30,298500.0
209,SSSM,845164,2021-08-31,298833.0
210,SSSM,845164,2021-07-31,282667.0
211,SSSM,845164,2021-06-30,279667.0
212,SSSM,845164,2021-05-31,264000.0
213,SSSM,845164,2021-04-30,264044.0
214,SSSM,845164,2021-03-31,251044.0
215,SSSM,845164,2021-02-28,258378.0
216,SSSM,845164,2021-01-31,256750.0
217,SSSM,845164,2020-12-31,266083.0
218,SSSM,845164,2020-11-30,266583.0
219,SSSM,845164,2020-10-31,275500.0
220,SSSM,845164,2020-09-30,266833.0
221,SSSM,845164,2020-08-31,261000.0
222,SSSM,845164,2020-07-31,248000.0
223,SSSM,845164,2020-06-30,243167.0
224,SSSM,845164,2020-05-31,229833.0
225,SSSM,845164,2020-04-30,217500.0
226,SSSM,845164,2020-03-31,204300.0
227,SSSM,845164,2020-02-29,210967.0
228,SSSM,845164,2020-01-31,209967.0
229,SSSM,845164,2019-12-31,216000.0
230,SSSM,845164,2019-11-30,209333.0
231,SSSM,845164,2019-10-31,213667.0
232,SSSM,845164,2019-09-30,216000.0
233,SSSM,845164,2019-08-31,211200.0
234,SSSM,845164,2019-07-31,215450.0
235,SSSM,845164,2019-06-30,217117.0
236,SSSM,845164,2019-05-31,218583.0
237,SSSM,845164,2019-04-30,205667.0
238,SSSM,845164,2019-03-31,195667.0
239,SSSM,845164,2019-02-28,194333.0
240,SSSM,845164,2019-01-31,205000.0
241,SSSM,845164,2018-12-31,207333.0
242,SSSM,845164,2018-11-30,207156.0
243,SSSM,845164,2018-10-31,200822.0
244,SSSM,845164,2018-09-30,201822.0
245,SSSM,845164,2018-08-31,203000.0
246,SSSM,845164,2018-07-31,209667.0
247,SSSM,845164,2018-06-30,223000.0
248,SSSM,845164,2018-05-31,218333.0
249,SSSM,845164,2018-04-30,220000.0
250,SSSM,845164,2018-03-31,206667.0
251,SSSM,845164,2018-02-28,206667.0
252,SSSM,845164,2018-01-31,200667.0
253,SSSM,845164,2017-12-31,199000.0
254,SSSM,845164,2017-11-30,197322.0
255,SSSM,845164,2017-10-31,195822.0
256,SSSM,845164,2017-09-30,196122.0
257,SSSM,845164,2017-08-31,207133.0
258,SSSM,845164,2017-07-31,206300.0
259,SSSM,845164,2017-06-30,214300.0
260,SSSM,845164,2017-05-31,205967.0
261,SSSM,845164,2017-04-30,205478.0
262,SSSM,845164,2017-03-31,192553.0
263,SSSM,845164,2017-02-28,186553.0
264,SSSM,845164,2017-01-31,180375.0
265,SSSM,845164,2016-12-31,184172.0
266,SSSM,845164,2016-11-30,184172.0
267,SSSM,845164,2016-10-31,189506.0
268,SSSM,845164,2016-09-30,190333.0
269,SSSM,845164,2016-08-31,194056.0
270,SSSM,845164,2016-07-31,195389.0
271,SSSM,845164,2016-06-30,193722.0
272,SSSM,845164,2016-05-31,187000.0
273,SSSM,845164,2016-04-30,177667.0
274,SSSM,845164,2016-03-31,170333.0
275,SSSM,845164,2016-02-29,168917.0
276,SSSM,845164,2016-01-31,175250.0
277,SSSM,845164,2015-12-31,180917.0
278,SSSM,845164,2015-11-30,188667.0
279,SSSM,845164,2015-10-31,182000.0
280,SSSM,845164,2015-09-30,185000.0
281,SSSM,845164,2015-08-31,188333.0
282,SSSM,845164,2015-07-31,198000.0
283,SSSM,845164,2015-06-30,193400.0
284,SSSM,845164,2015-05-31,192978.0
285,SSSM,845164,2015-04-30,187228.0
286,SSSM,845164,2015-03-31,177161.0
287,SSSM,845164,2015-02-28,168583.0
288,SSSM,845164,2015-01-31,165917.0
289,SSSM,845164,2014-12-31,174250.0
290,SSSM,845164,2014-11-30,176583.0
291,SSSM,845164,2014-10-31,178300.0
292,SSSM,845164,2014-09-30,182133.0
293,SSSM,845164,2014-08-31,185300.0
294,SSSM,845164,2014-07-31,185667.0
295,SSSM,845164,2014-06-30,184833.0
296,SSSM,845164,2014-05-31,179483.0
297,SSSM,845164,2014-04-30,169567.0
298,SSSM,845164,2014-03-31,157567.0
299,SSSM,845164,2014-02-28,154967.0
300,SSSM,845164,2014-01-31,163717.0
301,SSSM,845164,2013-12-31,172050.0
302,SSSM,845164,2013-11-30,175167.0
303,SSSM,845164,2013-10-31,175917.0
304,SSSM,845164,2013-09-30,179417.0
305,SSSM,845164,2013-08-31,186383.0
306,SSSM,845164,2013-07-31,181467.0
307,SSSM,845164,2013-06-30,178300.0
308,SSSM,845164,2013-05-31,168500.0
309,SSSM,845164,2013-04-30,166833.0
310,SSSM,845164,2013-03-31,170317.0
311,SSSM,845164,2013-02-28,171800.0
312,SSSM,845164,2013-01-31,171800.0
313,SSSM,845164,2012-12-31,165983.0
314,SSSM,845164,2012-11-30,167667.0
315,SSSM,845164,2012-10-31,173000.0
316,SSSM,845164,2012-09-30,174833.0
317,SSSM,845164,2012-08-31,180583.0
318,SSSM,845164,2012-07-31,183967.0
319,SSSM,845164,2012-06-30,182800.0
320,SSSM,845164,2012-05-31,180833.0
321,SSSM,845164,2012-04-30,172667.0
322,SSSM,845164,2012-03-31,171167.0
323,SSSM,845164,2012-02-29,165383.0
324,SSSM,845164,2012-01-31,164167.0
325,SSSM,845164,2011-12-31,162333.0
326,SSSM,845164,2011-11-30,158667.0
327,SSSM,845164,2011-10-31,171417.0
328,SSSM,845164,2011-09-30,184083.0
329,SSSM,845164,2011-08-31,190750.0
330,SSSM,845164,2011-07-31,190000.0
331,SSSM,845164,2011-06-30,181667.0
332,SSSM,845164,2011-05-31,184333.0
333,SSSM,845164,2011-04-30,169500.0
334,SSSM,845164,2011-03-31,173167.0
335,SSSM,845164,2011-02-28,170833.0
336,SSSM,845164,2011-01-31,184000.0
337,SSSM,845164,2010-12-31,183000.0
338,SSSM,845164,2010-11-30,182200.0
339,SSSM,845164,2010-10-31,184033.0
340,SSSM,845164,2010-09-30,184200.0
341,SSSM,845164,2010-08-31,188333.0
342,SSSM,845164,2010-07-31,182500.0
343,SSSM,845164,2010-06-30,183667.0
344,SSSM,845164,2010-05-31,175400.0
345,SSSM,845164,2010-04-30,168400.0
346,SSSM,845164,2010-03-31,158233.0
347,SSSM,845164,2010-02-28,156500.0
348,SSSM,845164,2010-01-31,162333.0
349,SSSM,845164,2009-12-31,167833.0
350,SSSM,845164,2009-11-30,177833.0
351,SSSM,845164,2009-10-31,180000.0
352,SSSM,845164,2009-09-30,182500.0
353,SSSM,845164,2009-08-31,182500.0
354,SSSM,845164,2009-07-31,178500.0
355,SSSM,845164,2009-06-30,178125.0
356,SSSM,845164,2009-05-31,171458.0
357,SSSM,845164,2009-04-30,163792.0
358,SSSM,845164,2009-03-31,158500.0
359,SSSM,845164,2009-02-28,165167.0
360,SSSM,845164,2009-01-31,174000.0
361,SSSM,845164,2008-12-31,182167.0
362,SSSM,845164,2008-11-30,182167.0
363,SSSM,845164,2008-10-31,187300.0
364,SSSM,845164,2008-09-30,193800.0
365,SSSM,845164,2008-08-31,206800.0
366,SSSM,845164,2008-07-31,216083.0
367,SSSM,845164,2008-06-30,210417.0
368,SSSM,845164,2008-05-31,202833.0
369,SSSM,845164,2008-04-30,200533.0
370,SSSM,845162,2023-08-31,363817.0
371,SSSM,845162,2023-07-31,359983.0
372,SSSM,845162,2023-06-30,359483.0
373,SSSM,845162,2023-05-31,357817.0
374,SSSM,845162,2023-04-30,376650.0
375,SSSM,845162,2023-03-31,420833.0
376,SSSM,845161,2023-07-31,214425.0
377,SSSM,845161,2023-06-30,181925.0
378,SSSM,845161,2023-05-31,144592.0
379,SSSM,845160,2023-08-31,530333.0
380,SSSM,845160,2023-07-31,518667.0
381,SSSM,845160,2023-06-30,508333.0
382,SSSM,845160,2023-05-31,499500.0
383,SSSM,845160,2023-04-30,487833.0
384,SSSM,845160,2023-03-31,480100.0
385,SSSM,845160,2023-02-28,460933.0
386,SSSM,845160,2023-01-31,470933.0
387,SSSM,845160,2022-12-31,477000.0
388,SSSM,845160,2022-11-30,475321.0
389,SSSM,845160,2022-10-31,478655.0
390,SSSM,845160,2022-09-30,481655.0
391,SSSM,845160,2022-08-31,498300.0
392,SSSM,845160,2022-07-31,503300.0
393,SSSM,845160,2022-06-30,506633.0
394,SSSM,845160,2022-05-31,501667.0
395,SSSM,845160,2022-04-30,490323.0
396,SSSM,845160,2022-03-31,470323.0
397,SSSM,845160,2022-02-28,470323.0
398,SSSM,845160,2022-01-31,466667.0
399,SSSM,845160,2021-12-31,474833.0
400,SSSM,845160,2021-11-30,463167.0
401,SSSM,845160,2021-10-31,462717.0
402,SSSM,845160,2021-09-30,454217.0
403,SSSM,845160,2021-08-31,455883.0
404,SSSM,845160,2021-07-31,443000.0
405,SSSM,845160,2021-06-30,433333.0
406,SSSM,845160,2021-05-31,408382.0
407,SSSM,845160,2021-04-30,408682.0
408,SSSM,845160,2021-03-31,402982.0
409,SSSM,845160,2021-02-28,408767.0
410,SSSM,845160,2021-01-31,393467.0
411,SSSM,845160,2020-12-31,391500.0
412,SSSM,845160,2020-11-30,387333.0
413,SSSM,845160,2020-10-31,391817.0
414,SSSM,845160,2020-09-30,376150.0
415,SSSM,845160,2020-08-31,364317.0
416,SSSM,845160,2020-07-31,340706.0
417,SSSM,845160,2020-06-30,340706.0
418,SSSM,845160,2020-05-31,335873.0
419,SSSM,845160,2020-04-30,341333.0
420,SSSM,845160,2020-03-31,341333.0
421,SSSM,845160,2020-02-29,343000.0
422,SSSM,845160,2020-01-31,338333.0
