None,indicator_id,region_id,date,value
126,SRSM,845167,2013-02-28,86000.0
127,SRSM,845167,2013-01-31,82250.0
128,SRSM,845167,2012-12-31,83500.0
129,SRSM,845167,2012-11-30,107000.0
130,SRSM,845167,2012-10-31,86000.0
131,SRSM,845167,2012-09-30,112700.0
132,SRSM,845167,2012-08-31,86000.0
133,SRSM,845167,2012-07-31,87500.0
134,SRSM,845167,2012-06-30,103075.0
135,SRSM,845167,2012-05-31,97000.0
136,SRSM,845167,2012-04-30,95000.0
137,SRSM,845167,2012-03-31,84000.0
138,SRSM,845167,2012-02-29,80000.0
139,SRSM,845167,2012-01-31,85000.0
140,SRSM,845167,2011-12-31,76000.0
141,SRSM,845167,2011-11-30,72298.0
142,SRSM,845167,2011-10-31,77950.0
143,SRSM,845167,2011-09-30,77500.0
144,SRSM,845167,2011-08-31,86250.0
145,SRSM,845167,2011-07-31,81000.0
146,SRSM,845167,2011-06-30,92750.0
147,SRSM,845167,2011-05-31,87950.0
148,SRSM,845167,2011-04-30,80000.0
149,SRSM,845167,2011-03-31,75000.0
150,SRSM,845167,2011-02-28,80000.0
151,SRSM,845167,2011-01-31,79000.0
152,SRSM,845167,2010-12-31,92500.0
153,SRSM,845167,2010-11-30,87500.0
154,SRSM,845167,2010-10-31,84250.0
155,SRSM,845167,2010-09-30,92000.0
156,SRSM,845167,2010-08-31,88500.0
157,SRSM,845167,2010-07-31,97500.0
158,SRSM,845167,2010-06-30,94000.0
159,SRSM,845167,2010-05-31,97600.0
160,SRSM,845167,2010-04-30,93000.0
161,SRSM,845167,2010-03-31,110500.0
162,SRSM,845167,2010-02-28,90700.0
163,SRSM,845167,2010-01-31,109750.0
164,SRSM,845167,2009-12-31,89500.0
165,SRSM,845167,2009-11-30,97500.0
166,SRSM,845167,2009-10-31,95000.0
167,SRSM,845167,2009-09-30,88700.0
168,SRSM,845167,2009-08-31,85000.0
169,SRSM,845167,2009-07-31,87500.0
170,SRSM,845167,2009-06-30,89950.0
171,SRSM,845167,2009-05-31,91500.0
172,SRSM,845167,2009-04-30,97000.0
173,SRSM,845167,2009-03-31,85000.0
174,SRSM,845167,2009-02-28,74000.0
175,SRSM,845167,2009-01-31,87000.0
176,SRSM,845167,2008-12-31,110000.0
177,SRSM,845167,2008-11-30,93000.0
178,SRSM,845167,2008-10-31,85000.0
179,SRSM,845167,2008-09-30,87500.0
180,SRSM,845167,2008-08-31,99750.0
181,SRSM,845167,2008-07-31,105000.0
182,SRSM,845167,2008-06-30,106500.0
183,SRSM,845167,2008-05-31,95750.0
184,SRSM,845167,2008-04-30,110000.0
185,SRSM,845167,2008-03-31,103750.0
186,SRSM,845167,2008-02-29,92000.0
187,SRSM,845164,2023-08-31,370000.0
188,SRSM,845164,2023-07-31,399000.0
189,SRSM,845164,2023-06-30,375000.0
190,SRSM,845164,2023-05-31,361000.0
191,SRSM,845164,2023-04-30,310000.0
